"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 10 04:28:47 UTC 2024","Sun Mar 10 04:28:54 UTC 2024","7773","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Sun Mar 10 04:28:42 UTC 2024","Sun Mar 10 04:28:46 UTC 2024","4524","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Sun Mar 10 03:26:39 UTC 2024","Sun Mar 10 03:26:50 UTC 2024","11233","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sun Mar 10 04:29:34 UTC 2024","Sun Mar 10 04:30:40 UTC 2024","65899","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Sun Mar 10 02:42:27 UTC 2024","Sun Mar 10 02:42:29 UTC 2024","1739","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Sun Mar 10 04:27:00 UTC 2024","Sun Mar 10 04:27:03 UTC 2024","3605","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Sun Mar 10 04:26:34 UTC 2024","Sun Mar 10 04:27:00 UTC 2024","25203","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Sun Mar 10 02:59:38 UTC 2024","Sun Mar 10 02:59:48 UTC 2024","10880","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sun Mar 10 04:28:54 UTC 2024","Sun Mar 10 04:28:56 UTC 2024","1631","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Sun Mar 10 02:49:08 UTC 2024","Sun Mar 10 02:49:17 UTC 2024","9281","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sun Mar 10 02:45:17 UTC 2024","Sun Mar 10 02:45:35 UTC 2024","18061","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Mar 10 02:48:41 UTC 2024","Sun Mar 10 02:48:52 UTC 2024","10933","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Sun Mar 10 03:27:20 UTC 2024","Sun Mar 10 03:28:07 UTC 2024","47302","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Sun Mar 10 02:32:06 UTC 2024","Sun Mar 10 02:32:12 UTC 2024","6095","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Sun Mar 10 02:51:03 UTC 2024","Sun Mar 10 02:52:12 UTC 2024","68763","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sun Mar 10 02:25:08 UTC 2024","Sun Mar 10 02:25:30 UTC 2024","22149","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Sun Mar 10 02:36:15 UTC 2024","Sun Mar 10 02:36:21 UTC 2024","6132","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sun Mar 10 02:32:00 UTC 2024","Sun Mar 10 02:32:06 UTC 2024","5715","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sun Mar 10 02:43:29 UTC 2024","Sun Mar 10 02:43:31 UTC 2024","1743","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sun Mar 10 04:47:49 UTC 2024","Sun Mar 10 04:47:57 UTC 2024","7454","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Sun Mar 10 03:27:18 UTC 2024","Sun Mar 10 03:27:20 UTC 2024","1646","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sun Mar 10 02:39:32 UTC 2024","Sun Mar 10 02:39:47 UTC 2024","15677","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Mar 10 04:04:30 UTC 2024","Sun Mar 10 04:04:44 UTC 2024","13494","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Sun Mar 10 02:59:24 UTC 2024","Sun Mar 10 02:59:37 UTC 2024","12939","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sun Mar 10 02:25:40 UTC 2024","Sun Mar 10 02:25:57 UTC 2024","16484","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Sun Mar 10 02:45:35 UTC 2024","Sun Mar 10 02:45:43 UTC 2024","7374","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sun Mar 10 02:42:34 UTC 2024","Sun Mar 10 02:42:37 UTC 2024","2971","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sun Mar 10 02:24:19 UTC 2024","Sun Mar 10 02:24:43 UTC 2024","24098","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sun Mar 10 04:27:30 UTC 2024","Sun Mar 10 04:27:32 UTC 2024","1789","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Sun Mar 10 02:37:30 UTC 2024","Sun Mar 10 02:37:32 UTC 2024","1708","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Mar 10 02:35:55 UTC 2024","Sun Mar 10 02:36:14 UTC 2024","19427","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Mar 10 02:45:43 UTC 2024","Sun Mar 10 02:45:47 UTC 2024","4440","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Mar 10 02:48:14 UTC 2024","Sun Mar 10 02:48:29 UTC 2024","15491","","6. Company Account","","","","1. Validate login credentials",""
